Logical address: 32602		 Physical address: 9562		 value: 31
Logical address: 46195		 Physical address: 50035		 value: 28
Logical address: 55849		 Physical address: 34601		 value: 0
Logical address: 46454		 Physical address: 50294		 value: 45
Logical address: 7487		 Physical address: 6207		 value: 79
Logical address: 33879		 Physical address: 42071		 value: 21
Logical address: 42004		 Physical address: 46100		 value: 0
Logical address: 8599		 Physical address: 20119		 value: 101
Logical address: 18641		 Physical address: 5585		 value: 0
Logical address: 49015		 Physical address: 50551		 value: -35
Logical address: 26830		 Physical address: 42702		 value: 26
Logical address: 34754		 Physical address: 18114		 value: 33
Logical address: 14668		 Physical address: 33356		 value: 0
Logical address: 38362		 Physical address: 20442		 value: 37
Logical address: 38791		 Physical address: 46983		 value: -31
Logical address: 4171		 Physical address: 50763		 value: 18
Logical address: 45975		 Physical address: 51095		 value: -27
Logical address: 14623		 Physical address: 33311		 value: 71
Logical address: 62393		 Physical address: 23993		 value: 0
Logical address: 64658		 Physical address: 6546		 value: 63
Logical address: 10963		 Physical address: 12499		 value: -76
Logical address: 9058		 Physical address: 48226		 value: 8
Logical address: 51031		 Physical address: 42839		 value: -43
Logical address: 32425		 Physical address: 7081		 value: 0
Logical address: 45483		 Physical address: 45995		 value: 106
Logical address: 44611		 Physical address: 11075		 value: -112
Logical address: 63664		 Physical address: 28336		 value: 0
Logical address: 54920		 Physical address: 3720		 value: 0
Logical address: 7663		 Physical address: 6383		 value: 123
Logical address: 56480		 Physical address: 51360		 value: 0
Logical address: 1489		 Physical address: 51665		 value: 0
Logical address: 28438		 Physical address: 27926		 value: 27
Logical address: 65449		 Physical address: 30633		 value: 0
Logical address: 12441		 Physical address: 45209		 value: 0
Logical address: 58530		 Physical address: 15522		 value: 57
Logical address: 63570		 Physical address: 28242		 value: 62
Logical address: 26251		 Physical address: 49291		 value: -94
Logical address: 15972		 Physical address: 21092		 value: 0
Logical address: 35826		 Physical address: 44018		 value: 34
Logical address: 5491		 Physical address: 21619		 value: 92
Logical address: 54253		 Physical address: 51949		 value: 0
Logical address: 49655		 Physical address: 45559		 value: 125
Logical address: 5868		 Physical address: 52204		 value: 0
Logical address: 20163		 Physical address: 40643		 value: -80
Logical address: 51079		 Physical address: 42887		 value: -31
Logical address: 21398		 Physical address: 9110		 value: 20
Logical address: 32756		 Physical address: 9716		 value: 0
Logical address: 64196		 Physical address: 4548		 value: 0
Logical address: 43218		 Physical address: 17618		 value: 42
Logical address: 21583		 Physical address: 52303		 value: 19
Logical address: 25086		 Physical address: 52734		 value: 24
Logical address: 45515		 Physical address: 46027		 value: 114
Logical address: 12893		 Physical address: 30301		 value: 0
Logical address: 22914		 Physical address: 52866		 value: 22
Logical address: 58969		 Physical address: 14937		 value: 0
Logical address: 20094		 Physical address: 40574		 value: 19
Logical address: 13730		 Physical address: 53154		 value: 13
Logical address: 44059		 Physical address: 53275		 value: 6
Logical address: 28931		 Physical address: 16387		 value: 64
Logical address: 13533		 Physical address: 36317		 value: 0
Logical address: 33134		 Physical address: 53614		 value: 32
Logical address: 28483		 Physical address: 27971		 value: -48
Logical address: 1220		 Physical address: 40900		 value: 0
Logical address: 38174		 Physical address: 20254		 value: 37
Logical address: 53502		 Physical address: 35582		 value: 52
Logical address: 43328		 Physical address: 29504		 value: 0
Logical address: 4970		 Physical address: 13674		 value: 4
Logical address: 8090		 Physical address: 33946		 value: 7
Logical address: 2661		 Physical address: 53861		 value: 0
Logical address: 53903		 Physical address: 54159		 value: -93
Logical address: 11025		 Physical address: 39953		 value: 0
Logical address: 26627		 Physical address: 42499		 value: 0
Logical address: 18117		 Physical address: 18885		 value: 0
Logical address: 14505		 Physical address: 5801		 value: 0
Logical address: 61528		 Physical address: 23128		 value: 0
Logical address: 20423		 Physical address: 16839		 value: -15
Logical address: 26962		 Physical address: 26962		 value: 26
Logical address: 36392		 Physical address: 14376		 value: 0
Logical address: 11365		 Physical address: 54373		 value: 0
Logical address: 50882		 Physical address: 26306		 value: 49
Logical address: 41668		 Physical address: 41924		 value: 0
Logical address: 30497		 Physical address: 16161		 value: 0
Logical address: 36216		 Physical address: 54648		 value: 0
Logical address: 5619		 Physical address: 21747		 value: 124
Logical address: 36983		 Physical address: 18295		 value: 29
Logical address: 59557		 Physical address: 26021		 value: 0
Logical address: 36663		 Physical address: 35639		 value: -51
Logical address: 36436		 Physical address: 14420		 value: 0
Logical address: 37057		 Physical address: 18369		 value: 0
Logical address: 23585		 Physical address: 54817		 value: 0
Logical address: 58791		 Physical address: 55207		 value: 105
Logical address: 46666		 Physical address: 55370		 value: 45
Logical address: 64475		 Physical address: 5083		 value: -10
Logical address: 21615		 Physical address: 52335		 value: 27
Logical address: 41090		 Physical address: 8834		 value: 40
Logical address: 1771		 Physical address: 43755		 value: -70
Logical address: 47513		 Physical address: 32153		 value: 0
